City_ID,City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,0,rikitea,88,PF,1517239857,100,-23.12,-134.97,79.71,13.49
1,1,lakes entrance,92,AU,1517239858,98,-37.88,147.99,70.76,7.0
2,2,sabang,8,PH,1517239859,98,13.72,123.58,74.63,5.77
3,3,kapaa,40,US,1517237760,93,22.08,-159.32,64.4,6.93
4,4,maceio,40,BR,1517238000,62,-9.67,-35.74,86.0,16.11
5,5,emerald,56,AU,1517239862,80,-23.53,148.16,73.41,3.42
6,6,colwyn bay,20,GB,1517239200,70,53.29,-3.71,46.4,12.75
7,7,upernavik,24,GL,1517239863,100,72.79,-56.15,-1.88,10.36
8,8,richards bay,12,ZA,1517239863,69,-28.77,32.06,77.78,8.12
9,9,ponta do sol,64,BR,1517239864,83,-20.63,-46.0,78.05,9.35
10,10,ushuaia,40,AR,1517238000,38,-54.81,-68.31,60.8,23.04
11,11,kuandian,0,CN,1517239865,47,40.73,124.78,-16.37,2.42
12,12,hithadhoo,0,MV,1517239866,100,-0.6,73.08,83.0,11.81
13,13,faya,40,SA,1517238000,77,18.39,42.45,59.0,14.99
14,14,halifax,90,CA,1517238000,79,44.65,-63.58,26.6,11.41
15,15,alofi,100,NU,1517234400,94,-19.06,-169.92,77.0,4.7
16,16,troitsko-pechorsk,76,RU,1517239868,79,62.71,56.19,14.33,6.33
17,17,punta arenas,40,CL,1517238000,47,-53.16,-70.91,57.2,25.28
18,18,qaanaaq,0,GL,1517239869,85,77.48,-69.36,-20.15,7.78
19,19,vestmannaeyjar,20,IS,1517239200,80,63.44,-20.27,35.6,14.99
20,20,arman,90,RU,1517238000,92,59.7,150.17,17.6,2.53
21,21,naze,20,NG,1517238000,30,5.43,7.07,95.0,5.82
22,22,bria,0,CF,1517239871,38,6.54,21.99,87.95,9.35
23,23,tiksi,48,RU,1517239872,57,71.64,128.87,-32.79,1.86
24,24,atbasar,0,KZ,1517239872,64,51.81,68.36,-14.03,4.43
25,25,mehamn,20,NO,1517237400,72,71.03,27.85,21.2,23.04
26,26,new norfolk,75,AU,1517238000,87,-42.78,147.06,57.2,10.29
27,27,zhangye,32,CN,1517239874,64,38.94,100.46,-3.9,2.64
28,28,busselton,0,AU,1517239874,100,-33.64,115.35,68.6,25.23
29,29,port elizabeth,90,US,1517237760,65,39.31,-74.98,42.8,11.41
30,30,mataura,0,NZ,1517239875,86,-46.19,168.86,59.15,2.98
31,31,cabo san lucas,5,MX,1517236800,24,22.89,-109.91,66.2,13.87
32,32,airai,80,TL,1517239876,71,-8.93,125.41,75.98,7.23
33,33,ostrovnoy,12,RU,1517239876,62,68.05,39.51,-7.95,3.09
34,34,colares,0,PT,1517238000,48,38.8,-9.45,66.2,18.34
35,35,sitka,0,US,1517239877,75,37.17,-99.65,20.13,4.54
36,36,mahebourg,40,MU,1517238000,78,-20.41,57.7,82.4,10.29
37,37,manaure,40,CO,1517238000,52,11.78,-72.45,87.8,18.34
38,38,saldanha,0,PT,1517239879,60,41.42,-6.55,55.23,7.23
39,39,marsh harbour,32,BS,1517239879,94,26.54,-77.06,76.61,17.74
40,40,yellowknife,90,CA,1517238000,75,62.45,-114.38,-16.61,8.05
41,41,sosnovo-ozerskoye,24,RU,1517239880,72,52.53,111.54,-4.67,11.81
42,42,tuktoyaktuk,75,CA,1517238000,75,69.44,-133.03,-16.61,13.87
43,43,norman wells,20,CA,1517238000,66,65.28,-126.83,-29.21,3.36
44,44,kavieng,64,PG,1517239882,100,-2.57,150.8,83.18,9.35
45,45,meulaboh,12,ID,1517239882,100,4.14,96.13,79.71,4.88
46,46,rawson,0,AR,1517239769,38,-43.3,-65.11,80.75,4.43
47,47,carnarvon,0,ZA,1517239883,15,-30.97,22.13,90.2,5.1
48,48,sobolevo,88,RU,1517239884,94,54.43,31.9,36.96,12.48
49,49,comodoro rivadavia,0,AR,1517238000,36,-45.87,-67.48,78.8,13.87
50,50,hermanus,0,ZA,1517239884,32,-34.42,19.24,90.6,4.21
51,51,butaritari,92,KI,1517239885,100,3.07,172.79,81.96,13.15
52,52,clarence town,48,AU,1517238000,88,-32.59,151.78,71.6,4.7
53,53,lorengau,88,PG,1517239886,100,-2.02,147.27,82.86,14.83
54,54,sidi ali,0,DZ,1517239886,68,36.1,0.42,62.43,8.23
55,55,lagoa,0,PT,1517238000,39,37.14,-8.45,64.4,18.34
